State,Latitude,Longitude,Abbreviation
Alabama,32.31823,-86.902298,AL
Alaska,66.160507,-153.369141,AK
Arizona,34.048927,-111.093735,AZ
Arkansas,34.799999,-92.199997,AR
California,36.778259,-119.417931,CA
Colorado,39.113014,-105.358887,CO
Connecticut,41.599998,-72.699997,CT
Delaware,39,-75.5,DE
Florida,27.994402,-81.760254,FL
Georgia,33.247875,-83.441162,GA
Hawaii,19.741755,-155.844437,HI
Idaho,44.068203,-114.742043,ID
Illinois,40,-89,IL
Indiana,40.273502,-86.126976,IN
Iowa,42.032974,-93.581543,IA
Kansas,38.5,-98,KS
Kentucky,37.839333,-84.27002,KY
Louisiana,30.39183,-92.329102,LA
Maine,45.367584,-68.972168,ME
Maryland,39.045753,-76.641273,MD
Massachusetts,42.407211,-71.382439,MA
Michigan,44.182205,-84.506836,MI
Minnesota,46.39241,-94.63623,MN
Mississippi,33,-90,MS
Missouri,38.573936,-92.60376,MO
Montana,46.96526,-109.533691,MT
Nebraska,41.5,-100,NE
Nevada,39.876019,-117.224121,NV
New Hampshire,44,-71.5,NH
New Jersey,39.833851,-74.871826,NJ
New Mexico,34.307144,-106.018066,NM
New York,43,-75,NY
North Carolina,35.782169,-80.793457,NC
North Dakota,47.650589,-100.437012,ND
Ohio,40.367474,-82.996216,OH
Oklahoma,36.084621,-96.921387,OK
Oregon,44,-120.5,OR
Pennsylvania,41.203323,-77.194527,PA
Rhode Island,41.700001,-71.5,RI
South Carolina,33.836082,-81.163727,SC
South Dakota,44.5,-100,SD
Tennessee,35.860119,-86.660156,TN
Texas,31,-100,TX
Utah,39.41922,-111.950684,UT
Vermont,44,-72.699997,VT
Virginia,37.926868,-78.024902,VA
Washington,47.751076,-120.740135,WA
West Virginia,39,-80.5,WV
Wisconsin,44.5,-89.5,WI
Wyoming,43.07597,-107.290283,WY
